"","date","gage.flow","model.flow"
"275","1984-10-01",75,30.9647776970423
"276","1984-10-02",94,46.6328452506499
"277","1984-10-03",79,51.7795696203633
"278","1984-10-04",61,51.6808387445314
"279","1984-10-05",55,49.4253761226174
"280","1984-10-06",52,46.2383415325519
"281","1984-10-07",50,43.3547853949243
"282","1984-10-08",50,40.5983279266752
"283","1984-10-09",49,37.950708343794
"284","1984-10-10",51,35.1238742255752
"285","1984-10-11",51,32.1153161049724
"286","1984-10-12",50,29.0091762537113
"287","1984-10-13",49,25.8885645073493
"288","1984-10-14",47,22.8198790670141
"289","1984-10-15",46,19.9968051248239
"290","1984-10-16",47,17.727599849305
"291","1984-10-17",48,15.6038086209526
"292","1984-10-18",49,13.7748191117092
"293","1984-10-19",50,12.1695037002783
"294","1984-10-20",49,10.8481384329787
"295","1984-10-21",49,9.61826926928817
"296","1984-10-22",50,8.69618145435839
"297","1984-10-23",60,8.8004221791747
"298","1984-10-24",69,13.519501331507
"299","1984-10-25",66,18.7005417920845
"300","1984-10-26",72,21.0692927313344
"301","1984-10-27",90,22.8527022834984
"302","1984-10-28",74,23.462904422327
"303","1984-10-29",73,24.6508086366668
"304","1984-10-30",80,28.0302630223118
"305","1984-10-31",76,29.0439704993827
"306","1984-11-01",66,28.8438977222481
"307","1984-11-02",60,27.9089602846177
"308","1984-11-03",56,26.6029394017414
"309","1984-11-04",55,25.3581981711002
"310","1984-11-05",56,26.9083269942669
"311","1984-11-06",56,29.313775703762
"312","1984-11-07",56,30.5356891494035
"313","1984-11-08",54,31.0568364702871
"314","1984-11-09",54,31.0622660260388
"315","1984-11-10",53,30.5760956407727
"316","1984-11-11",69,38.3688081762402
"317","1984-11-12",86,47.2492446177304
"318","1984-11-13",88,50.9609355194922
"319","1984-11-14",73,51.2232575698823
"320","1984-11-15",64,50.2267197604187
"321","1984-11-16",61,54.5636752834099
"322","1984-11-17",57,55.4196775973395
"323","1984-11-18",56,55.0173397906367
"324","1984-11-19",67,72.239238244677
"325","1984-11-20",103,85.1931802157933
"326","1984-11-21",118,91.2405879220537
"327","1984-11-22",90,93.6695904760995
"328","1984-11-23",76,93.9465345652464
"329","1984-11-24",71,92.8716388993616
"330","1984-11-25",68,90.9470673584563
"331","1984-11-26",66,88.4563994530606
"332","1984-11-27",63,85.7019877116385
"333","1984-11-28",132,96.6672351713898
"334","1984-11-29",438,127.4077504446
"335","1984-11-30",263,163.085484350948
