"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",0,2.29,-Inf
"Med. 1 Day Min",22,9.66,56.1
"Min. 3 Day Min",0.00667,2.38,-35600
"Med. 3 Day Min",23.3,9.84,57.8
"Min. 7 Day Min",0.02,2.54,-12600
"Med. 7 Day Min",23.9,10.5,56.1
"Min. 30 Day Min",1.82,3.11,-70.9
"Med. 30 Day Min",28.6,12.2,57.3
"Min. 90 Day Min",7.03,9.03,-28.4
"Med. 90 Day Min",42.2,23.7,43.8
"7Q10",2.51,3.43,-36.7
"Year of 90-Day Low Flow",2002,1986,100
"Drought Year Mean",32.924301369863,28.0878969491529,14.7
"Mean Baseflow",59.3,55.5,6.41
