"","USGS Gage","Model","Pct. Error"
"Min. 1 Day Min",8.67,11.1,-28
"Med. 1 Day Min",39,25.8,33.8
"Min. 3 Day Min",9.2,11.4,-23.9
"Med. 3 Day Min",40,26.4,34
"Min. 7 Day Min",10.1,11.9,-17.8
"Med. 7 Day Min",43.7,28.4,35
"Min. 30 Day Min",16.6,13.7,17.5
"Med. 30 Day Min",50.6,33.7,33.4
"Min. 90 Day Min",21.3,23.9,-12.2
"Med. 90 Day Min",67.4,46.1,31.6
"7Q10",20.6,14.6,29.1
"Year of 90-Day Low Flow",2002,1985,100
"Drought Year Mean",44.9134246575343,50.5824796973099,-12.6
"Mean Baseflow",87.1,82.4,5.4
