"","date","gage.flow","model.flow"
"275","1984-10-01",487,200.014090385082
"276","1984-10-02",344,191.601088238768
"277","1984-10-03",314,164.138128389707
"278","1984-10-04",330,149.692585652737
"279","1984-10-05",330,141.438482124687
"280","1984-10-06",304,73.6132353151694
"281","1984-10-07",124,43.351531339269
"282","1984-10-08",216,64.8592144955242
"283","1984-10-09",328,113.822886923176
"284","1984-10-10",360,123.6983106371
"285","1984-10-11",304,122.614042107788
"286","1984-10-12",327,119.460089071838
"287","1984-10-13",265,63.8003250016435
"288","1984-10-14",154,35.6048901871645
"289","1984-10-15",225,50.4228590430514
"290","1984-10-16",331,87.8833949626085
"291","1984-10-17",325,104.56564558679
"292","1984-10-18",329,104.932355588877
"293","1984-10-19",333,102.216226591093
"294","1984-10-20",308,56.8470471617932
"295","1984-10-21",148,29.4631212771528
"296","1984-10-22",337,41.5866053186506
"297","1984-10-23",305,68.0811974365562
"298","1984-10-24",536,119.811904159954
"299","1984-10-25",338,111.643401268759
"300","1984-10-26",297,103.828841098223
"301","1984-10-27",151,58.7224434868412
"302","1984-10-28",163,33.3023629194311
"303","1984-10-29",387,68.2172650314315
"304","1984-10-30",354,102.261033077809
"305","1984-10-31",329,103.395466457659
"306","1984-11-01",314,97.8602395970754
"307","1984-11-02",329,92.8968630664146
"308","1984-11-03",169,55.3696862466956
"309","1984-11-04",183,31.553586202846
"310","1984-11-05",307,70.5356511323428
"311","1984-11-06",359,106.293408297468
"312","1984-11-07",346,101.480776991199
"313","1984-11-08",335,96.0137612476151
"314","1984-11-09",351,91.860522966276
"315","1984-11-10",286,55.7175676693202
"316","1984-11-11",163,33.5582833630182
"317","1984-11-12",329,43.2093294722674
"318","1984-11-13",359,62.4990549479327
"319","1984-11-14",332,77.0029065219438
"320","1984-11-15",333,81.6442242979464
"321","1984-11-16",346,80.2422586515896
"322","1984-11-17",141,51.6653930559616
"323","1984-11-18",137,27.0216972631909
"324","1984-11-19",385,43.914879378684
"325","1984-11-20",353,75.9217777843215
"326","1984-11-21",362,88.8094240618317
"327","1984-11-22",275,86.6108980281833
"328","1984-11-23",342,83.4858567299411
"329","1984-11-24",153,54.0996499889436
"330","1984-11-25",173,31.2189382142435
"331","1984-11-26",343,38.4744774522198
"332","1984-11-27",331,54.7535404104608
"333","1984-11-28",610,90.042058499212
"334","1984-11-29",464,289.357257373427
"335","1984-11-30",395,205.21448495148
"336","1984-12-01",126,86.9985569580074
"337","1984-12-02",146,49.105505961514
"338","1984-12-03",365,61.665880244762
"339","1984-12-04",324,87.9140094089075
"340","1984-12-05",362,101.376678589755
"341","1984-12-06",451,303.466810826039
"342","1984-12-07",315,202.322557681214
"343","1984-12-08",182,102.074980899028
"344","1984-12-09",160,61.3042732072856
"345","1984-12-10",352,78.1623619525767
"346","1984-12-11",317,104.809989900867
"347","1984-12-12",310,107.616927942521
"348","1984-12-13",317,105.897936741954
"349","1984-12-14",331,103.140451007054
"350","1984-12-15",112,65.2416406835245
"351","1984-12-16",126,45.694886696463
"352","1984-12-17",337,55.1088559094647
"353","1984-12-18",320,77.7589073266215
"354","1984-12-19",311,89.2078324909141
"355","1984-12-20",304,88.5006855002936
"356","1984-12-21",346,93.2393802007486
"357","1984-12-22",112,66.9361999144729
"358","1984-12-23",132,46.5021167796055
"359","1984-12-24",288,53.6650568994208
"360","1984-12-25",297,71.5116612719117
"361","1984-12-26",341,82.7506664822742
"362","1984-12-27",308,82.6240553106192
"363","1984-12-28",327,79.8813594314636
"364","1984-12-29",112,54.181891330507
"365","1984-12-30",115,32.5406482322368
"366","1984-12-31",363,38.703674233369
"367","1985-01-01",218,72.3379355760914
"368","1985-01-02",355,112.316772027053
"369","1985-01-03",1130,205.972271558966
"370","1985-01-04",1260,565.563675194016
"371","1985-01-05",388,522.820005963844
"372","1985-01-06",265,293.842394735209
"373","1985-01-07",260,259.34606821297
"374","1985-01-08",728,244.947299766023
"375","1985-01-09",672,230.234059691267
"376","1985-01-10",692,221.495142602907
"377","1985-01-11",678,215.594143464395
"378","1985-01-12",278,164.14553215626
"379","1985-01-13",150,133.057912210515
"380","1985-01-14",205,173.388739042096
"381","1985-01-15",332,197.146785137561
"382","1985-01-16",312,197.764363522553
"383","1985-01-17",338,196.667504485435
"384","1985-01-18",329,191.21043309464
"385","1985-01-19",300,145.030768687981
"386","1985-01-20",136,122.116792748184
"387","1985-01-21",277,162.122290073331
"388","1985-01-22",311,186.374112561151
"389","1985-01-23",324,186.403193818544
"390","1985-01-24",308,182.974429274594
"391","1985-01-25",322,178.87466062588
"392","1985-01-26",145,126.406531555482
"393","1985-01-27",141,95.1130957559393
"394","1985-01-28",330,138.143700995917
"395","1985-01-29",307,164.577194584819
"396","1985-01-30",317,168.195423498443
"397","1985-01-31",356,179.528494992416
"398","1985-02-01",942,358.643613389663
"399","1985-02-02",945,995.296252331628
"400","1985-02-03",419,587.908520170585
"401","1985-02-04",475,419.640759460671
"402","1985-02-05",500,352.958678172712
"403","1985-02-06",669,399.212776203657
"404","1985-02-07",642,410.132238218254
"405","1985-02-08",594,346.702199919761
"406","1985-02-09",261,253.194345694451
"407","1985-02-10",185,206.95730371461
"408","1985-02-11",346,256.010703025238
"409","1985-02-12",1310,312.407895265801
"410","1985-02-13",601,316.943122906646
"411","1985-02-14",459,311.287218801412
