"","date","gage.flow","model.flow"
"275","1984-10-01",161,176.457445689253
"276","1984-10-02",96,91.8355908763309
"277","1984-10-03",72,64.4621637926676
"278","1984-10-04",65,52.3796974616404
"279","1984-10-05",62,46.7956243153603
"280","1984-10-06",59,43.7621189288632
"281","1984-10-07",58,41.5789429254837
"282","1984-10-08",58,39.8819844929451
"283","1984-10-09",61,38.8285686814306
"284","1984-10-10",60,37.7414155620689
"285","1984-10-11",58,36.6305068751259
"286","1984-10-12",58,35.6700210308027
"287","1984-10-13",58,34.8175555576479
"288","1984-10-14",58,33.9999688113034
"289","1984-10-15",58,33.1842876548854
"290","1984-10-16",60,32.4995442242878
"291","1984-10-17",61,31.7062956659513
"292","1984-10-18",62,31.1099377117903
"293","1984-10-19",62,30.2501190536905
"294","1984-10-20",61,29.4728922016552
"295","1984-10-21",60,28.6222816748518
"296","1984-10-22",68,29.4748197682213
"297","1984-10-23",89,60.7610551461136
"298","1984-10-24",88,109.009859930254
"299","1984-10-25",75,69.6548635263135
"300","1984-10-26",71,50.2272047644223
"301","1984-10-27",67,42.86886622945
"302","1984-10-28",66,38.3408133306563
"303","1984-10-29",73,45.6225406246433
"304","1984-10-30",72,46.9177409437652
"305","1984-10-31",68,37.8651615523427
"306","1984-11-01",68,35.3917269522651
"307","1984-11-02",67,33.8839244509132
"308","1984-11-03",68,32.8776930340117
"309","1984-11-04",71,33.4906957087608
"310","1984-11-05",108,78.80590765042
"311","1984-11-06",96,50.3419896551464
"312","1984-11-07",81,43.1699484698458
"313","1984-11-08",76,40.4511952624076
"314","1984-11-09",73,38.5500712168835
"315","1984-11-10",71,37.5360983963637
"316","1984-11-11",77,54.8559963655284
"317","1984-11-12",76,41.261333753036
"318","1984-11-13",72,38.2390102360152
"319","1984-11-14",70,36.7374444468284
"320","1984-11-15",69,35.6336128276895
"321","1984-11-16",68,34.8138326120614
"322","1984-11-17",68,34.1235617768093
"323","1984-11-18",69,33.6372202615531
"324","1984-11-19",94,77.5674837551695
"325","1984-11-20",107,50.2981284873973
"326","1984-11-21",85,43.0853189770591
"327","1984-11-22",78,40.1570558200603
"328","1984-11-23",74,38.5332089331099
"329","1984-11-24",75,37.4013516787751
"330","1984-11-25",75,36.5449053080299
"331","1984-11-26",74,35.7733935065648
"332","1984-11-27",74,35.1114660123854
"333","1984-11-28",154,65.1118130457291
"334","1984-11-29",225,111.681684759082
"335","1984-11-30",140,88.594474359237
"336","1984-12-01",111,65.8452955757593
"337","1984-12-02",95,55.262017548722
"338","1984-12-03",88,49.7682985552218
"339","1984-12-04",81,46.7402627756743
"340","1984-12-05",81,45.1828792412083
"341","1984-12-06",92,50.6564778624474
"342","1984-12-07",78,48.7545125235338
"343","1984-12-08",75,44.9577441227754
"344","1984-12-09",79,52.7158289078759
"345","1984-12-10",78,56.142528637211
"346","1984-12-11",85,70.5257059874518
"347","1984-12-12",84,57.7076358992003
"348","1984-12-13",81,52.6040665235251
"349","1984-12-14",79,50.7412799517648
"350","1984-12-15",78,49.5062250012418
"351","1984-12-16",76,48.391167156014
"352","1984-12-17",76,47.3731010691629
"353","1984-12-18",74,46.4519756383214
"354","1984-12-19",74,46.0104257461378
"355","1984-12-20",76,46.2969901196433
"356","1984-12-21",87,81.1223414149871
"357","1984-12-22",109,73.6567794859567
"358","1984-12-23",106,57.7976084177279
"359","1984-12-24",97,53.123747614324
