"","date","gage.flow","model.flow"
"4292","1995-10-01",800,507.25616253442
"4293","1995-10-02",700,456.578224763284
"4294","1995-10-03",560,454.911379822322
"4295","1995-10-04",1190,485.340387279869
"4296","1995-10-05",4330,3583.10235489443
"4297","1995-10-06",4600,5045.55572270865
"4298","1995-10-07",2860,4231.30158144
"4299","1995-10-08",1800,2891.74546008135
"4300","1995-10-09",1000,1981.6522396916
"4301","1995-10-10",1150,1536.9911366314
"4302","1995-10-11",1000,1300.28797618542
"4303","1995-10-12",1050,1163.56889700445
"4304","1995-10-13",950,1073.99503989069
"4305","1995-10-14",1600,1015.83627545568
"4306","1995-10-15",2600,2722.17228458606
"4307","1995-10-16",2400,2249.89704515642
"4308","1995-10-17",1600,1703.45647887156
"4309","1995-10-18",1350,1365.16332142168
"4310","1995-10-19",1110,1172.54959859735
"4311","1995-10-20",1590,1060.44077259024
"4312","1995-10-21",3490,10220.6217142364
"4313","1995-10-22",2700,4945.52268605657
"4314","1995-10-23",2070,2436.00714835384
"4315","1995-10-24",1570,1716.89873750712
"4316","1995-10-25",1050,1395.55935205184
"4317","1995-10-26",1310,1229.7456391151
"4318","1995-10-27",1220,1140.19582718765
"4319","1995-10-28",6280,5661.23658008957
"4320","1995-10-29",3470,4551.1590469967
"4321","1995-10-30",2320,2570.24231975264
"4322","1995-10-31",1750,1846.79229239597
"4323","1995-11-01",1490,1497.43267596119
"4324","1995-11-02",1330,1449.38371753084
"4325","1995-11-03",1540,1441.00105117
"4326","1995-11-04",1560,1515.6614932815
"4327","1995-11-05",1500,1381.2279070153
"4328","1995-11-06",1330,1226.29950654604
"4329","1995-11-07",1650,1300.75046213157
"4330","1995-11-08",3010,1725.63487203424
"4331","1995-11-09",3010,2522.81771194922
"4332","1995-11-10",2310,2330.0746188946
"4333","1995-11-11",2230,1905.18009394487
"4334","1995-11-12",9120,5786.24437466042
"4335","1995-11-13",5360,13008.7259483786
"4336","1995-11-14",3410,6940.59842919487
"4337","1995-11-15",2700,3529.67004666002
"4338","1995-11-16",2090,2386.28733851359
"4339","1995-11-17",1770,1985.80252357975
"4340","1995-11-18",1530,1753.8755693693
"4341","1995-11-19",1530,1547.17946236594
"4342","1995-11-20",1460,1447.94995604224
"4343","1995-11-21",1520,1477.40505954821
"4344","1995-11-22",1350,1494.30477803416
"4345","1995-11-23",1340,1469.21958062491
"4346","1995-11-24",1290,1434.13740582285
"4347","1995-11-25",1320,1387.91096601994
"4348","1995-11-26",1310,1271.1678182291
"4349","1995-11-27",1300,1189.99878114891
"4350","1995-11-28",1460,1208.46981669153
"4351","1995-11-29",1260,1529.40850870301
"4352","1995-11-30",1520,1838.11317954476
"4353","1995-12-01",1640,1788.86364717353
"4354","1995-12-02",1430,1590.2997766433
"4355","1995-12-03",1050,1369.9048040525
"4356","1995-12-04",1220,1250.68898847439
"4357","1995-12-05",1310,1253.08996308406
"4358","1995-12-06",1200,1268.24184558849
"4359","1995-12-07",1210,1297.76449251888
"4360","1995-12-08",1220,1343.0467135921
"4361","1995-12-09",1400,1348.99791703378
"4362","1995-12-10",1330,1320.78320501039
"4363","1995-12-11",1250,1316.54293362995
"4364","1995-12-12",1260,1342.22794064164
"4365","1995-12-13",1240,1334.68067709909
"4366","1995-12-14",1270,1299.01877702395
"4367","1995-12-15",1170,1272.60232330353
"4368","1995-12-16",1310,1227.47142159782
"4369","1995-12-17",990,1124.06667641517
"4370","1995-12-18",1190,1065.07731665638
"4371","1995-12-19",1400,1202.16725640893
"4372","1995-12-20",1650,1439.31648051895
"4373","1995-12-21",1580,1478.10986013861
"4374","1995-12-22",1480,1423.78371414419
"4375","1995-12-23",1380,1337.84832484811
"4376","1995-12-24",993,1199.76000450669
"4377","1995-12-25",1010,1119.0384153012
"4378","1995-12-26",1460,1141.70813274731
"4379","1995-12-27",1100,1169.6783167224
"4380","1995-12-28",1300,1166.35709462822
"4381","1995-12-29",1170,1145.14618499657
"4382","1995-12-30",985,1103.53715826486
"4383","1995-12-31",1010,1016.12190527498
"4384","1996-01-01",1310,981.680460679004
"4385","1996-01-02",1300,1082.52961675988
"4386","1996-01-03",1520,1314.37411787573
"4387","1996-01-04",1430,1465.82709412195
"4388","1996-01-05",1250,1409.756552506
"4389","1996-01-06",1130,1275.28848197326
"4390","1996-01-07",1040,1166.63746048021
"4391","1996-01-08",1120,1098.39568639054
"4392","1996-01-09",1540,1106.34125306568
"4393","1996-01-10",1860,1088.40030590132
"4394","1996-01-11",1820,1074.42792568306
"4395","1996-01-12",1410,1074.88039871126
"4396","1996-01-13",1440,1042.53041519898
"4397","1996-01-14",1570,1117.54826715015
"4398","1996-01-15",1890,1438.73172459696
"4399","1996-01-16",2400,1993.67380641515
"4400","1996-01-17",3170,2145.79485163057
"4401","1996-01-18",4080,2176.87978695466
"4402","1996-01-19",15700,8503.87268809645
"4403","1996-01-20",24000,13516.7792907085
"4404","1996-01-21",7130,7964.25654588527
"4405","1996-01-22",4510,4841.58915717398
"4406","1996-01-23",3560,3578.61885057493
"4407","1996-01-24",3360,3039.85478260835
"4408","1996-01-25",4780,3038.62012925205
"4409","1996-01-26",3910,3037.50092313083
"4410","1996-01-27",9560,3752.41222667331
"4411","1996-01-28",16400,4952.44962220469
"4412","1996-01-29",6500,4410.85002485172
"4413","1996-01-30",5110,3793.69829633154
"4414","1996-01-31",4000,3412.84911698268
"4415","1996-02-01",3590,3231.32138839442
"4416","1996-02-02",3300,3069.56061710064
"4417","1996-02-03",2900,2987.23485487
"4418","1996-02-04",2400,2554.99565450763
"4419","1996-02-05",2250,2405.54226715053
"4420","1996-02-06",2200,2515.26966237502
"4421","1996-02-07",2100,2546.61335470645
"4422","1996-02-08",2510,2667.29572772056
"4423","1996-02-09",4630,4214.39698237549
"4424","1996-02-10",9880,7325.89286234316
"4425","1996-02-11",6500,9347.45454531282
"4426","1996-02-12",5270,11370.022606417
"4427","1996-02-13",3690,10163.5125399937
"4428","1996-02-14",3030,7718.98926907769
"4429","1996-02-15",2700,6175.75817384903
"4430","1996-02-16",2730,5551.17554939337
"4431","1996-02-17",2680,5309.34634289431
"4432","1996-02-18",2090,4660.41499470157
"4433","1996-02-19",2090,4320.5907267066
"4434","1996-02-20",2620,4450.2288252031
"4435","1996-02-21",3210,5423.91005464803
"4436","1996-02-22",3280,6316.71483863721
"4437","1996-02-23",3010,5922.42969636258
